,YEAR,MAKE,MODEL,FUEL_TYPE,PRICE,KM_DRIVEN,TRANSMISSION,WHEEL_TYPE,EMI_PER_MONTH,LOCATION
0,2015,Hyundai,Creta S,Diesel,8.50,"61,718",Manual,Alloy wheels,"18,481","Garuda Mall, Magrath Road, Bengaluru"
1,2013,Honda,City 1.5L,Petrol,4.64,"84,818",Manual,Alloy wheels,"12,219","Whitefield Main Road, Bhoruka Tech Park, Benga..."
2,2015,Renault,Duster 110,Diesel,5.74,"94,510",Manual,Reg. serviced,"12,768","Bellahalli, Bengaluru"
3,2021,Tata,PUNCH ACCOMPLISHED,Petrol,8.49,"8,945",Automatic,Top Model,"16,160","Garuda Mall, Magrath Road, Bengaluru"
4,2016,Ford,Ecosport TITANIUM,Petrol,6.16,"71,617",Manual,Spl. reg. no.,"12,043","Garuda Mall, Magrath Road, Bengaluru"
5,2017,Renault,Duster 85,Diesel,7.75,"71,918",Manual,Reg. serviced,"15,151","Garuda Mall, Magrath Road, Bengaluru"
6,2015,Mahindra,XUV500 W6,Diesel,7.85,"98,338",Manual,Alloy wheels,"17,462","Bellahalli, Bengaluru"
7,2019,Toyota,Glanza G,Petrol,6.81,"53,435",Manual,Alloy wheels,"13,314","Bellahalli, Bengaluru"
8,2020,Tata,ALTROZ XZ,Petrol,7.35,"11,336",Manual,Low run cost,"14,370","Bellahalli, Bengaluru"
9,2017,Datsun,Redi Go,Petrol,2.62,"43,814",Manual,Alloy wheels,"5,122","Bellahalli, Bengaluru"
10,2018,Maruti,Baleno RS,Petrol,6.54,"61,005",Manual,Alloy wheels,"12,786","Whitefield Main Road, Bhoruka Tech Park, Benga..."
11,2023,Mahindra,Thar LX,Petrol,14.90,"11,796",Automatic,Top Model,"28,361","Garuda Mall, Magrath Road, Bengaluru"
12,2019,MG,HECTOR SHARP,Petrol,14.32,"32,644",Automatic,Top Model,"27,257","Bellahalli, Bengaluru"
13,2020,Maruti,S PRESSO,Petrol,4.86,"18,106",Automatic,Alloy wheels,"9,508","Bellahalli, Bengaluru"
14,2020,Maruti,Ertiga ZXI,Petrol,9.63,"43,181",Automatic,Top Model,"18,330","Bellahalli, Bengaluru"
15,2018,Skoda,Rapid STYLE,Petrol,7.12,"70,771",Manual,Safety specs.,"13,920","Whitefield Main Road, Bhoruka Tech Park, Benga..."
16,2015,Honda,City 1.5L,Petrol,6.08,"53,160",Manual,Top Model,"11,887","Whitefield Main Road, Bhoruka Tech Park, Benga..."
17,2017,Renault,Kwid RXT,Petrol,3.42,"12,883",Manual,Alloy wheels,"6,679","Bellahalli, Bengaluru"
18,2017,Skoda,Rapid AMBITION,Petrol,7.34,"24,123",Manual,Top Model,"14,355","Bellahalli, Bengaluru"
19,2016,Renault,Kwid RXT,Petrol,3.22,"34,012",Manual,Top Model,"6,295","Whitefield Main Road, Bhoruka Tech Park, Benga..."
20,2018,Hyundai,Verna 1.6,Petrol,8.20,"35,916",Manual,Alloy wheels,"15,604","M3M Urbana, Golf Course Ext., Gurugram"
21,2020,Mahindra,Thar LX,Diesel,12.31,"10,910",Manual,Low run cost,"23,431","M3M Urbana, Golf Course Ext., Gurugram"
22,2019,Maruti,Celerio VXI,CNG,4.48,"43,422",Manual,Top Model,"8,755","Sector-18, Noida"
23,2018,Hyundai,Verna 1.6,Petrol,7.74,"66,936",Manual,Spl. reg. no.,"15,128","Metro Walk, Rohini, New Delhi"
24,2022,Tata,Harrier XT,Diesel,15.52,"27,990",Manual,Alloy wheels,"29,541","M3M Urbana, Golf Course Ext., Gurugram"
25,2019,Mahindra,TUV300 T10,Diesel,6.78,"38,862",Manual,Top Model,"15,079","Metro Walk, Rohini, New Delhi"
26,2020,Mahindra,Scorpio S11,Diesel,15.90,"38,501",Manual,100% tyre life,"30,264","KW Delhi 6, Raj Nagar Extension, Ghaziabad"
27,2014,Maruti,Ciaz VXI+,Petrol,4.52,"39,298",Manual,Alloy wheels,"10,054","Metro Walk, Rohini, New Delhi"
28,2023,Honda,City 1.5L,Petrol,12.79,"5,061",Automatic,Reg. serviced,"24,345","Chhatarpur, Delhi"
29,2023,Hyundai,AURA S,Petrol,6.66,"19,791",Manual,Reg. serviced,"13,020","M3M Urbana, Golf Course Ext., Gurugram"
30,2022,Maruti,IGNIS SIGMA,Petrol,4.92,"35,102",Manual,Reg. serviced,"9,619","M3M Urbana, Golf Course Ext., Gurugram"
31,2022,Maruti,Alto LXI,Petrol,3.77,"22,489",Manual,Top Model,"7,370","M3M Urbana, Golf Course Ext., Gurugram"
32,2021,Honda,WR-V 1.2L,Petrol,7.96,"44,787",Manual,Top Model,"15,561","Sector-18, Noida"
33,2022,Maruti,Baleno ALPHA,Petrol,8.63,"5,527",Automatic,Alloy wheels,"16,426","KW Delhi 6, Raj Nagar Extension, Ghaziabad"
34,2022,Tata,PUNCH CREATIVE,Petrol,8.46,450,Manual,As good as new,"16,103","Chhatarpur, Delhi"
35,2020,Tata,NEXON XMA,Diesel,6.96,"59,866",Automatic,Top Model,"13,610","Metro Walk, Rohini, New Delhi"
36,2022,Mahindra,XUV700 AX,Diesel,23.22,"62,567",Automatic,Reg. serviced,"44,197","Metro Walk, Rohini, New Delhi"
37,2016,Maruti,Alto 800,Petrol,2.64,"17,816",Manual,100% tyre life,"5,161","M3M Urbana, Golf Course Ext., Gurugram"
38,2018,Maruti,Dzire LXI,Petrol,4.79,"58,159",Manual,Reg. serviced,"9,365","M3M Urbana, Golf Course Ext., Gurugram"
39,2023,Tata,Tiago XE,Petrol,5.23,"6,657",Manual,Alloy wheels,"10,225","M3M Urbana, Golf Course Ext., Gurugram"
40,2016,Honda,BR-V 1.5L,Petrol,6.46,"76,235",Manual,Spl. reg. no.,"12,629","Goregaon, Mumbai"
41,2015,Volkswagen,Polo COMFORTLINE,Petrol,3.83,"66,024",Manual,Alloy wheels,"7,493","Seawood
"
42,2016,Tata,Tiago XZ,Petrol,3.94,"33,323",Manual,Top Model,"7,703","Mulund West, Mumbai 
"
43,2016,Renault,Kwid RXT,Petrol,2.85,"32,258",Manual,Safety specs.,"5,572","Mulund West, Mumbai 
"
44,2020,Maruti,Baleno DELTA,Petrol,6.31,"35,304",Manual,Low run cost,"12,328","Goregaon, Mumbai"
45,2018,Renault,Kwid CLIMBER,Petrol,3.60,"60,067",Automatic,As good as new,"7,034","Goregaon, Mumbai"
46,2022,KIA,SELTOS GTX,Petrol,14.76,"23,040",Manual,Reg. serviced,"28,098","Goregaon, Mumbai"
47,2023,Maruti,XL6 ZETA,CNG,12.28,"32,447",Manual,Low run cost,"23,374","Goregaon, Mumbai"
48,2013,Maruti,Wagon R,CNG,2.74,"64,400",Manual,Top Model,"12,908","Mulund West, Mumbai 
"
49,2017,Honda,WR-V 1.5L,Diesel,7.02,"40,039",Manual,Reg. serviced,"13,724","Seawood
"
50,2017,Hyundai,Elite i20,Petrol,5.15,"31,359",Manual,Top Model,"10,061","Mulund West, Mumbai 
"
51,2018,Hyundai,i20 Active,Petrol,5.83,"85,880",Manual,Reg. serviced,"11,388","Goregaon, Mumbai"
52,2023,Tata,TIGOR XZ,CNG,7.92,"3,817",Manual,Sunroof,"15,484","Goregaon, Mumbai"
53,2023,Hyundai,VENUE SX,Diesel,11.38,"24,566",Manual,Alloy wheels,"21,661","Goregaon, Mumbai"
54,2015,Hyundai,i20 Active,Petrol,4.78,"53,664",Manual,Reg. serviced,"9,349","Mulund West, Mumbai 
"
55,2014,Hyundai,Xcent S,Petrol,3.80,"40,151",Manual,Reg. serviced,"8,458","Mulund West, Mumbai 
"
56,2021,Tata,NEXON XE,Petrol,6.78,"27,603",Manual,Sunroof,"13,255","Mulund West, Mumbai 
"
57,2020,KIA,SONET GTX,Petrol,10.04,"35,415",Manual,Alloy wheels,"19,116","Goregaon, Mumbai"
58,2019,Tata,Harrier XZ,Diesel,12.71,"57,037",Manual,Sunroof,"24,192","Goregaon, Mumbai"
59,2014,Honda,City 1.5L,Petrol,5.31,"34,473",Manual,Spl. reg. no.,"11,812","Goregaon, Mumbai"
60,2019,Volkswagen,Polo GT,Petrol,7.41,"94,669",Automatic,Top Model,"14,487","Kompally, Hyderabad"
61,2021,Mahindra,Thar LX,Petrol,12.83,"23,965",Manual,Top Model,"24,421","Bachupally, Hyderabad"
62,2018,Tata,Tiago XZA,Petrol,4.85,"41,772",Automatic,Top Model,"9,482","Bachupally, Hyderabad"
63,2017,Volkswagen,Ameo HIGHLINE1.5L,Diesel,5.76,"1,08,064",Manual,Top Model,"12,813","Attapur, Hyderabad"
64,2022,Nissan,MAGNITE XV,Petrol,8.68,"13,925",Automatic,Reg. serviced,"16,522","Kompally, Hyderabad"
65,2020,Hyundai,Verna SX,Petrol,10.10,"50,413",Manual,Reg. serviced,"19,227","Attapur, Hyderabad"
66,2017,Ford,Ecosport TITANIUM,Diesel,6.46,"92,848",Manual,Top Model,"12,629","Kompally, Hyderabad"
67,2019,Maruti,S PRESSO,Petrol,3.78,"50,645",Manual,Reg. serviced,"7,381","Bachupally, Hyderabad"
68,2017,Maruti,Baleno ALPHA,Petrol,6.08,"61,462",Manual,Reg. serviced,"11,878","Kompally, Hyderabad"
69,2014,Maruti,Alto 800,Petrol,2.33,"43,780",Manual,Alloy wheels,"5,183","Kompally, Hyderabad"
70,2018,Maruti,Baleno DELTA,Petrol,5.30,"52,856",Manual,Top Model,"10,365","Kompally, Hyderabad"
71,2017,Hyundai,Elite i20,Petrol,6.27,"79,690",Manual,Low run cost,"12,252","Kompally, Hyderabad"
72,2016,Maruti,Swift ZXI,Petrol,5.26,"77,053",Manual,100% tyre life,"10,282","Bachupally, Hyderabad"
73,2017,Maruti,Celerio VXI,Petrol,3.61,"90,417",Manual,Alloy wheels,"7,065","Kompally, Hyderabad"
74,2018,Maruti,Dzire VXI,Petrol,5.83,"86,837",Automatic,100% tyre life,"11,392","Kompally, Hyderabad"
75,2021,KIA,SELTOS HTK,Petrol,11.47,"34,663",Manual,Safety specs.,"21,832","Bachupally, Hyderabad"
76,2017,Maruti,Swift VXI,Petrol,5.61,"25,847",Manual,Top Model,"10,963","Attapur, Hyderabad"
77,2021,Renault,Kwid CLIMBER,Petrol,4.64,"7,391",Manual,100% tyre life,"9,069","Kompally, Hyderabad"
78,2019,Honda,Amaze 1.2L,Petrol,6.89,"37,615",Manual,Spl. reg. no.,"13,470","Kompally, Hyderabad"
79,2016,Maruti,Swift VDI,Diesel,5.17,"61,992",Manual,Spl. reg. no.,"10,107","Attapur, Hyderabad"
80,2017,Hyundai,Elite i20,Petrol,5.68,"83,903",Manual,Reg. serviced,"11,099","Naroda, Ahmedabad"
81,2015,Hyundai,Elite i20,Petrol,4.87,"63,192",Manual,Reg. serviced,"9,521","Naroda, Ahmedabad"
82,2023,Maruti,Alto LXI,CNG,4.97,"18,726",Manual,As good as new,"9,713","Karnavati Club, Ahmedabad"
83,2023,Tata,Tiago XE,Petrol,5.16,"5,985",Manual,Top Model,"10,088","Naroda, Ahmedabad"
84,2021,Mahindra,Thar LX,Petrol,12.44,"22,784",Manual,Top Model,"23,678","Karnavati Club, Ahmedabad"
85,2021,Honda,Amaze 1.2L,Petrol,6.79,"23,481",Manual,Top Model,"13,275","Naroda, Ahmedabad"
86,2018,Volkswagen,Polo HIGHLINE,Petrol,5.09,"79,978",Manual,100% tyre life,"9,951","Naroda, Ahmedabad"
87,2018,Maruti,Wagon R,CNG,3.80,"89,536",Manual,100% tyre life,"7,429","Naroda, Ahmedabad"
88,2014,Maruti,Wagon R,Petrol,2.94,"45,538",Manual,Top Model,"6,540","Naroda, Ahmedabad"
89,2019,Hyundai,Elite i20,Diesel,7.13,"95,643",Manual,Reg. serviced,"13,946","Naroda, Ahmedabad"
90,2022,Hyundai,Creta SX,Petrol,12.77,"43,583",Manual,Alloy wheels,"24,315","Karnavati Club, Ahmedabad"
91,2022,Renault,TRIBER RXL,Petrol,5.63,"26,543",Manual,100% tyre life,"11,011","Karnavati Club, Ahmedabad"
92,2015,Honda,City 1.5L,Petrol,5.73,"49,727",Manual,Reg. serviced,"11,202","Naroda, Ahmedabad"
93,2020,Maruti,Dzire VXI,Petrol,5.96,"81,469",Manual,Reg. serviced,"11,652","Naroda, Ahmedabad"
94,2023,Honda,Amaze 1.2L,Petrol,7.45,"11,259",Manual,Alloy wheels,"14,565","Naroda, Ahmedabad"
95,2021,Tata,Tiago XT,Petrol,5.26,"23,950",Manual,Alloy wheels,"10,283","Naroda, Ahmedabad"
96,2019,Maruti,Ciaz DELTA,Petrol,6.71,"43,437",Manual,Top Model,"13,120","Naroda, Ahmedabad"
97,2022,Tata,TIGOR XZ,Petrol,6.34,"35,540",Manual,Top Model,"12,400","Karnavati Club, Ahmedabad"
98,2015,Maruti,Baleno ALPHA,Petrol,5.35,"38,484",Manual,Spl. reg. no.,"10,459","Naroda, Ahmedabad"
99,2017,Hyundai,Elite i20,Petrol,5.73,"92,359",Manual,Alloy wheels,"11,196","Naroda, Ahmedabad"
100,2022,Tata,Harrier XT,Diesel,15.52,"27,990",Manual,Top Model,"29,541","M3M Urbana, Golf Course Ext., Gurugram"
101,2020,Mahindra,Thar LX,Diesel,12.31,"10,910",Manual,Low run cost,"23,431","M3M Urbana, Golf Course Ext., Gurugram"
102,2018,Hyundai,Verna 1.6,Petrol,8.20,"35,916",Manual,Sunroof,"15,604","M3M Urbana, Golf Course Ext., Gurugram"
103,2019,Maruti,Celerio VXI,CNG,4.48,"43,422",Manual,Top Model,"8,755","Sector-18, Noida"
104,2020,Hyundai,Verna SX,Diesel,10.60,"48,995",Manual,100% tyre life,"20,176","M3M Urbana, Golf Course Ext., Gurugram"
105,2020,Mahindra,Scorpio S11,Diesel,15.90,"38,501",Manual,Reg. serviced,"30,264","KW Delhi 6, Raj Nagar Extension, Ghaziabad"
106,2018,Maruti,Dzire LXI,Petrol,4.79,"58,159",Manual,Reg. serviced,"9,365","M3M Urbana, Golf Course Ext., Gurugram"
107,2021,KIA,SELTOS HTE,Diesel,10.05,"71,031",Manual,Reg. serviced,"19,120","M3M Urbana, Golf Course Ext., Gurugram"
108,2016,Maruti,Alto 800,Petrol,2.64,"17,816",Manual,Alloy wheels,"5,161","M3M Urbana, Golf Course Ext., Gurugram"
109,2022,Maruti,IGNIS SIGMA,Petrol,4.92,"35,102",Manual,Top Model,"9,619","M3M Urbana, Golf Course Ext., Gurugram"
110,2018,Honda,City 1.5L,CNG,7.00,"72,415",Manual,Alloy wheels,"13,685","M3M Urbana, Golf Course Ext., Gurugram"
111,2018,Hyundai,Verna 1.6,Petrol,7.74,"66,936",Manual,Safety specs.,"15,128","Metro Walk, Rohini, New Delhi"
112,2023,Hyundai,GRAND I10,Petrol,7.30,"2,850",Manual,Top Model,"14,279","M3M Urbana, Golf Course Ext., Gurugram"
113,2022,Tata,Tiago XZ,CNG,6.88,"22,859",Manual,100% tyre life,"13,459","M3M Urbana, Golf Course Ext., Gurugram"
114,2022,Maruti,Baleno ALPHA,Petrol,8.63,"5,527",Automatic,Top Model,"16,426","KW Delhi 6, Raj Nagar Extension, Ghaziabad"
115,2020,Tata,Tiago XZ,Petrol,4.56,"42,313",Manual,As good as new,"8,917","M3M Urbana, Golf Course Ext., Gurugram"
116,2022,Mahindra,XUV700 AX,Diesel,23.22,"62,567",Automatic,Safety specs.,"44,197","Metro Walk, Rohini, New Delhi"
117,2020,Tata,NEXON XMA,Diesel,6.96,"59,866",Automatic,Alloy wheels,"13,610","Metro Walk, Rohini, New Delhi"
118,2019,Ford,Ecosport TREND,Petrol,6.34,"50,164",Manual,Top Model,"12,400","M3M Urbana, Golf Course Ext., Gurugram"
119,2019,Mahindra,TUV300 T10,Diesel,6.78,"38,862",Manual,Less driven,"15,079","Metro Walk, Rohini, New Delhi"
120,2015,Honda,Brio VX,Petrol,3.30,"37,165",Automatic,Spl. reg. no.,"6,452","Newtown, Kolkata
"
121,2018,Hyundai,Grand i10,Petrol,4.03,"13,164",Manual,Top Model,"7,884","Newtown, Kolkata
"
122,2018,Ford,Ecosport TITANIUM,Petrol,6.18,"78,842",Manual,Alloy wheels,"12,085","Newtown, Kolkata
"
123,2021,Maruti,S PRESSO,Petrol,4.27,"12,992",Manual,Safety specs.,"8,348","Newtown, Kolkata
"
124,2017,Hyundai,Grand i10,Petrol,3.99,"97,245",Automatic,Spl. reg. no.,"7,801","Newtown, Kolkata
"
125,2019,Tata,NEXON XM,Petrol,5.97,"24,678",Manual,City driven,"11,675","Newtown, Kolkata
"
126,2014,Toyota,Etios CROSS,Petrol,3.01,"61,177",Manual,Safety specs.,"6,696","Newtown, Kolkata
"
127,2018,Datsun,Go T,Petrol,2.52,"43,070",Manual,Alloy wheels,"4,927","Newtown, Kolkata
"
128,2019,Maruti,Swift VXI,Petrol,4.85,"23,964",Manual,Top Model,"9,491","Newtown, Kolkata
"
129,2020,Tata,ALTROZ XZ,Petrol,6.21,"12,303",Manual,Spl. reg. no.,"12,144","Newtown, Kolkata
"
130,2015,Maruti,Wagon R,Petrol,2.95,"49,070",Manual,Spl. reg. no.,"5,774","Newtown, Kolkata
"
131,2014,Honda,City 1.5L,Petrol,3.50,"60,590",Manual,Safety specs.,"7,786","Newtown, Kolkata
"
132,2023,Maruti,Swift VXI,Petrol,6.47,"20,462",Manual,Top Model,"12,652","Newtown, Kolkata
"
133,2017,Mahindra,KUV 100,Petrol,3.14,"49,462",Manual,Alloy wheels,"6,135","Newtown, Kolkata
"
134,2018,Hyundai,Verna 1.6,Petrol,7.05,"60,647",Manual,Low run cost,"13,783","Newtown, Kolkata
"
135,2014,Honda,City 1.5L,Diesel,3.78,"54,754",Manual,Spl. reg. no.,"9,954","Newtown, Kolkata
"
136,2020,Datsun,Redi Go,Petrol,2.97,"31,958",Manual,Reg. serviced,"5,806","Newtown, Kolkata
"
137,2018,Maruti,Dzire ZXI,Petrol,5.59,"71,141",Automatic,Reg. serviced,"10,929","Newtown, Kolkata
"
